,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track
5578,0.603,0.892,11,-4.77,0,0.0751,0.214,0.0,0.0852,0.963,191.857,audio_features,4j7MoKT6auwsPUxzLoITfP,spotify:track:4j7MoKT6auwsPUxzLoITfP,https://api.spotify.com/v1/tracks/4j7MoKT6auwsPUxzLoITfP,https://api.spotify.com/v1/audio-analysis/4j7MoKT6auwsPUxzLoITfP,210000,4,Le Choix
5579,0.572,0.687,10,-10.05,1,0.0449,0.395,1.05e-06,0.122,0.653,165.977,audio_features,1lBZtVlmtQbBvsHsLSW98m,spotify:track:1lBZtVlmtQbBvsHsLSW98m,https://api.spotify.com/v1/tracks/1lBZtVlmtQbBvsHsLSW98m,https://api.spotify.com/v1/audio-analysis/1lBZtVlmtQbBvsHsLSW98m,254293,4,Good Day (Live)
5580,0.863,0.762,2,-7.736,1,0.0937,0.00439,0.856,0.107,0.483,111.008,audio_features,5b2Ls1oVzD9P8EjzsrB3aZ,spotify:track:5b2Ls1oVzD9P8EjzsrB3aZ,https://api.spotify.com/v1/tracks/5b2Ls1oVzD9P8EjzsrB3aZ,https://api.spotify.com/v1/audio-analysis/5b2Ls1oVzD9P8EjzsrB3aZ,339893,4,Tuggathanug
5581,0.486,0.0788,9,-19.772,1,0.0345,0.907,0.777,0.104,0.292,74.979,audio_features,4JTGF8XZl4pGCeRX89eAoA,spotify:track:4JTGF8XZl4pGCeRX89eAoA,https://api.spotify.com/v1/tracks/4JTGF8XZl4pGCeRX89eAoA,https://api.spotify.com/v1/audio-analysis/4JTGF8XZl4pGCeRX89eAoA,210973,4,All Through The Night (Album)
5582,0.947,0.883,6,-6.306,0,0.208,0.022,0.000478,0.422,0.56,100.004,audio_features,50UkypyQJbSQLaXHke5Yep,spotify:track:50UkypyQJbSQLaXHke5Yep,https://api.spotify.com/v1/tracks/50UkypyQJbSQLaXHke5Yep,https://api.spotify.com/v1/audio-analysis/50UkypyQJbSQLaXHke5Yep,180493,4,There It Go (The Whistle Song)
5583,0.645,0.904,2,-4.532,1,0.0462,0.0293,0.0,0.0834,0.671,105.97,audio_features,0yD66650JxhqKbW76C2qCo,spotify:track:0yD66650JxhqKbW76C2qCo,https://api.spotify.com/v1/tracks/0yD66650JxhqKbW76C2qCo,https://api.spotify.com/v1/audio-analysis/0yD66650JxhqKbW76C2qCo,225560,4,Country Girl
5584,0.341,0.848,7,-4.475,1,0.0371,0.0583,0.129,0.136,0.589,136.568,audio_features,0HwdiT4MVRzY0OALcjq0Oh,spotify:track:0HwdiT4MVRzY0OALcjq0Oh,https://api.spotify.com/v1/tracks/0HwdiT4MVRzY0OALcjq0Oh,https://api.spotify.com/v1/audio-analysis/0HwdiT4MVRzY0OALcjq0Oh,300880,4,Peaceful World
5585,0.606,0.487,1,-5.495,0,0.0508,0.785,0.0,0.165,0.553,179.914,audio_features,12L3PRi1KaDiCPhFngI6Al,spotify:track:12L3PRi1KaDiCPhFngI6Al,https://api.spotify.com/v1/tracks/12L3PRi1KaDiCPhFngI6Al,https://api.spotify.com/v1/audio-analysis/12L3PRi1KaDiCPhFngI6Al,164009,4,Kanoê
5586,0.345,0.322,7,-8.703,1,0.0721,0.524,0.188,0.123,0.359,178.063,audio_features,7q1Dg1rHSZZ5hjGF4I1N87,spotify:track:7q1Dg1rHSZZ5hjGF4I1N87,https://api.spotify.com/v1/tracks/7q1Dg1rHSZZ5hjGF4I1N87,https://api.spotify.com/v1/audio-analysis/7q1Dg1rHSZZ5hjGF4I1N87,268333,4,Sake In The Jar
5587,0.636,0.594,9,-10.56,1,0.0276,0.06,0.0,0.351,0.86,127.702,audio_features,6WoN3Qbw1FfayeJy09rFzR,spotify:track:6WoN3Qbw1FfayeJy09rFzR,https://api.spotify.com/v1/tracks/6WoN3Qbw1FfayeJy09rFzR,https://api.spotify.com/v1/audio-analysis/6WoN3Qbw1FfayeJy09rFzR,264427,4,I Wish I Had A Girl
5588,0.507,0.291,0,-13.637,1,0.0265,0.742,0.000447,0.237,0.704,106.007,audio_features,4y1nxSWEdm3AG1KkjsFxcs,spotify:track:4y1nxSWEdm3AG1KkjsFxcs,https://api.spotify.com/v1/tracks/4y1nxSWEdm3AG1KkjsFxcs,https://api.spotify.com/v1/audio-analysis/4y1nxSWEdm3AG1KkjsFxcs,141827,3,Each Time (I Love You More)
5589,0.69,0.713,7,-6.329,1,0.0394,0.0654,0.0,0.111,0.556,117.011,audio_features,4bl38xLIkTB6VO5r2EBvb1,spotify:track:4bl38xLIkTB6VO5r2EBvb1,https://api.spotify.com/v1/tracks/4bl38xLIkTB6VO5r2EBvb1,https://api.spotify.com/v1/audio-analysis/4bl38xLIkTB6VO5r2EBvb1,222000,4,B Somebody
5590,0.768,0.809,4,-4.204,0,0.0616,0.278,0.0,0.139,0.748,111.989,audio_features,2mXsZsJBThTaJXbNcg5QD4,spotify:track:2mXsZsJBThTaJXbNcg5QD4,https://api.spotify.com/v1/tracks/2mXsZsJBThTaJXbNcg5QD4,https://api.spotify.com/v1/audio-analysis/2mXsZsJBThTaJXbNcg5QD4,177773,4,Broken Record
5591,0.626,0.479,5,-14.864,1,0.034,0.129,0.0,0.103,0.747,129.256,audio_features,3wvlAo2ewNRoLesRuKmA7Y,spotify:track:3wvlAo2ewNRoLesRuKmA7Y,https://api.spotify.com/v1/tracks/3wvlAo2ewNRoLesRuKmA7Y,https://api.spotify.com/v1/audio-analysis/3wvlAo2ewNRoLesRuKmA7Y,196373,4,Let's Stop Talkin' About It
5592,0.625,0.912,0,-5.013,1,0.132,0.101,0.0,0.843,0.68,102.016,audio_features,1UdL9THRYh9A6j9jeSt3k2,spotify:track:1UdL9THRYh9A6j9jeSt3k2,https://api.spotify.com/v1/tracks/1UdL9THRYh9A6j9jeSt3k2,https://api.spotify.com/v1/audio-analysis/1UdL9THRYh9A6j9jeSt3k2,240205,4,Bye-Bye - Medley
5593,0.568,0.571,5,-12.667,0,0.0452,0.707,0.00231,0.275,0.55,114.901,audio_features,6nwEqQ2bteYrrNA9D37Zsm,spotify:track:6nwEqQ2bteYrrNA9D37Zsm,https://api.spotify.com/v1/tracks/6nwEqQ2bteYrrNA9D37Zsm,https://api.spotify.com/v1/audio-analysis/6nwEqQ2bteYrrNA9D37Zsm,421773,4,Child Of My Kingdom
5594,0.508,0.677,1,-5.696,1,0.0656,0.328,0.0,0.0491,0.575,121.928,audio_features,0sQLhT32E9ZG2zn5iYR6nN,spotify:track:0sQLhT32E9ZG2zn5iYR6nN,https://api.spotify.com/v1/tracks/0sQLhT32E9ZG2zn5iYR6nN,https://api.spotify.com/v1/audio-analysis/0sQLhT32E9ZG2zn5iYR6nN,227280,5,Locked Away
5595,0.462,0.582,1,-11.472,1,0.0507,0.444,0.0,0.892,0.618,176.866,audio_features,2YJD77wjc9RVkr3Qqk2c3e,spotify:track:2YJD77wjc9RVkr3Qqk2c3e,https://api.spotify.com/v1/tracks/2YJD77wjc9RVkr3Qqk2c3e,https://api.spotify.com/v1/audio-analysis/2YJD77wjc9RVkr3Qqk2c3e,264093,4,The Homecoming Song (Album Version)
5596,0.101,0.0241,11,-30.172,0,0.0485,0.947,0.847,0.0693,0.0329,87.14,audio_features,1MiWGSGDC5mGoP3MNclZ7s,spotify:track:1MiWGSGDC5mGoP3MNclZ7s,https://api.spotify.com/v1/tracks/1MiWGSGDC5mGoP3MNclZ7s,https://api.spotify.com/v1/audio-analysis/1MiWGSGDC5mGoP3MNclZ7s,208587,3,Le Sacre du Printemps (The Rite of Spring)/Part One: The Adoration of the Earth - Introduction
